,researcher_id,first_name,last_name,field,institution,joined_year,h_index,publications_count,is_active,country,email,grant_id,funding_body,year_awarded,amount_cad,project_title,status,pub_id,title,year,citations,journal,open_access
0,R025,Hans,Müller,Computer Vision,ETH Zurich,2014,3,15,True,USA,hans.müller@university.edu,,,,,,,P052,Federated Learning for Privacy Preservation,2022.0,191.0,Nature Machine Intelligence,True
1,R025,Hans,Müller,Computer Vision,ETH Zurich,2014,3,15,True,USA,hans.müller@university.edu,,,,,,,P001,Causal Inference with Observational Data,2018.0,26.0,ACL,True
2,R023,Ivan,Petrov,Machine Learning,University of Toronto,2011,15,45,True,Canada,ivan.petrov@university.edu,G004,CFI,2019.0,80000.0,AI for Climate,completed,P018,Federated Learning for Privacy Preservation,2010.0,47.0,EMNLP,False
3,R011,Karim,Obeid,NLP,UBC,2018,18,72,True,Canada,karim.obeid@pssar.ca,G007,Mitacs,2017.0,90000.0,Data for Good,active,P002,Multi-lingual BERT Fine-Tuning,2016.0,197.0,CVPR,True
4,R011,Karim,Obeid,NLP,UBC,2018,18,72,True,Canada,karim.obeid@pssar.ca,G007,Mitacs,2017.0,90000.0,Data for Good,active,P053,Efficient Data Pipelines at Scale,2021.0,153.0,EMNLP,False
5,R011,Karim,Obeid,NLP,UBC,2018,18,72,True,Canada,karim.obeid@pssar.ca,G007,Mitacs,2017.0,90000.0,Data for Good,active,P020,Graph Neural Networks for Molecule Prediction,2013.0,151.0,JMLR,True
6,R028,Bruno,Ferreira,Computer Vision,ETH Zurich,2019,3,12,True,UK,bruno.ferreira@university.edu,,,,,,,,,,,,
7,R031,Jiyeon,Park,Statistics,MIT,2008,9,27,True,UK,jiyeon.park@university.edu,G019,CIHR,2021.0,60000.0,Healthcare NLP,active,P055,Self-Supervised Learning in Vision,2021.0,143.0,ICML,False
8,R020,Kenji,Tanaka,NLP,Oxford,2022,8,32,False,Germany,kenji.tanaka@university.edu,G012,CIHR,2018.0,85000.0,Data for Good,pending,P046,Efficient Data Pipelines at Scale,2022.0,115.0,ICLR,False
9,R020,Kenji,Tanaka,NLP,Oxford,2022,8,32,False,Germany,kenji.tanaka@university.edu,G012,CIHR,2018.0,85000.0,Data for Good,pending,P012,Bias in NLP Benchmarks: A Critical Review,2022.0,2.0,ACL,True
10,R020,Kenji,Tanaka,NLP,Oxford,2022,8,32,False,Germany,kenji.tanaka@university.edu,G029,CFI,2018.0,129000.0,Multilingual Models,completed,P046,Efficient Data Pipelines at Scale,2022.0,115.0,ICLR,False
11,R020,Kenji,Tanaka,NLP,Oxford,2022,8,32,False,Germany,kenji.tanaka@university.edu,G029,CFI,2018.0,129000.0,Multilingual Models,completed,P012,Bias in NLP Benchmarks: A Critical Review,2022.0,2.0,ACL,True
12,R022,Minh,Nguyen,Statistics,McGill University,2017,17,51,False,France,minh.nguyen@university.edu,G010,CFI,2022.0,70000.0,Multilingual Models,completed,P014,Multi-lingual BERT Fine-Tuning,2013.0,160.0,JMLR,True
13,R014,Nour,Saleh,Computer Vision,Concordia University,2021,16,96,True,Germany,nour.saleh@pssar.ca,,,,,,,P026,Deep Learning for Medical Imaging,2016.0,194.0,JMLR,True
14,R016,Li,Chen,Machine Learning,McGill University,2008,7,21,True,Germany,li.chen@university.edu,G009,CIHR,2019.0,110000.0,Healthcare NLP,pending,P019,Efficient Data Pipelines at Scale,2018.0,98.0,JMLR,False
15,R016,Li,Chen,Machine Learning,McGill University,2008,7,21,True,Germany,li.chen@university.edu,G017,NSERC,2022.0,,Multilingual Models,,P019,Efficient Data Pipelines at Scale,2018.0,98.0,JMLR,False
16,R029,Marie,Dubois,NLP,MIT,2013,7,35,True,USA,marie.dubois@university.edu,,,,,,,,,,,,
17,R008,Younes,Nasser,Computer Vision,McGill University,2015,16,112,True,Lebanon,younes.nasser@pssar.ca,,,,,,,P011,Deep Learning for Medical Imaging,2024.0,143.0,NeurIPS,False
18,R008,Younes,Nasser,Computer Vision,McGill University,2015,16,112,True,Lebanon,younes.nasser@pssar.ca,,,,,,,P009,Deep Learning for Medical Imaging,2017.0,122.0,ICLR,False
19,R033,Marco,Bianchi,Data Engineering,Oxford,2016,7,42,True,Germany,marco.bianchi@university.edu,,,,,,,P005,Transformer Models in Low-Resource Settings,2023.0,38.0,CVPR,True
20,R033,Marco,Bianchi,Data Engineering,Oxford,2016,7,42,True,Germany,marco.bianchi@university.edu,,,,,,,P050,Self-Supervised Learning in Vision,2014.0,128.0,ICML,True
21,R033,Marco,Bianchi,Data Engineering,Oxford,2016,7,42,True,Germany,marco.bianchi@university.edu,,,,,,,P027,Graph Neural Networks for Molecule Prediction,2020.0,114.0,ICLR,False
22,R030,Erik,Johansson,Computer Vision,University of Toronto,2008,15,60,False,France,erik.johansson@university.edu,G025,SSHRC,2021.0,70000.0,AI for Climate,active,,,,,,
23,R015,James,Martínez,Data Engineering,University of Toronto,2007,14,42,True,UK,james.martínez@university.edu,G014,CFI,2023.0,65000.0,Data for Good,active,,,,,,
24,R015,James,Martínez,Data Engineering,University of Toronto,2007,14,42,True,UK,james.martínez@university.edu,G023,SSHRC,2015.0,55000.0,Data for Good,completed,,,,,,
25,R015,James,Martínez,Data Engineering,University of Toronto,2007,14,42,True,UK,james.martínez@university.edu,G024,SSHRC,2023.0,,Healthcare NLP,pending,,,,,,
26,R032,Pierre,Moreau,Data Engineering,McGill University,2014,8,24,True,Australia,pierre.moreau@university.edu,,,,,,,,,,,,
27,R013,Tariq,Rashid,Machine Learning,UBC,2020,24,168,True,Germany,tariq.rashid@pssar.ca,,,,,,,P047,Self-Supervised Learning in Vision,2022.0,113.0,Nature Machine Intelligence,True
28,R013,Tariq,Rashid,Machine Learning,UBC,2020,24,168,True,Germany,tariq.rashid@pssar.ca,,,,,,,P060,Deep Learning for Medical Imaging,2016.0,1.0,ACL,False
29,R013,Tariq,Rashid,Machine Learning,UBC,2020,24,168,True,Germany,tariq.rashid@pssar.ca,,,,,,,P017,Causal Inference with Observational Data,2019.0,111.0,ACL,False
30,R013,Tariq,Rashid,Machine Learning,UBC,2020,24,168,True,Germany,tariq.rashid@pssar.ca,,,,,,,P024,Bias in NLP Benchmarks: A Critical Review,2022.0,168.0,NeurIPS,False
31,R001,Claire,Davidson,Machine Learning,UBC,2008,16,64,True,Jordan,claire.davidson@pssar.ca,G011,CFI,2016.0,55000.0,Ethical AI,completed,P006,Transformer Models in Low-Resource Settings,2020.0,112.0,ICML,False
32,R001,Claire,Davidson,Machine Learning,UBC,2008,16,64,True,Jordan,claire.davidson@pssar.ca,G011,CFI,2016.0,55000.0,Ethical AI,completed,P048,Efficient Data Pipelines at Scale,2017.0,62.0,ACL,False
33,R001,Claire,Davidson,Machine Learning,UBC,2008,16,64,True,Jordan,claire.davidson@pssar.ca,G011,CFI,2016.0,55000.0,Ethical AI,completed,P_HIDDEN,Data Opens Doors: A Manifesto for Open Research,2024.0,9999.0,Nature Machine Intelligence,True
34,R001,Claire,Davidson,Machine Learning,UBC,2008,16,64,True,Jordan,claire.davidson@pssar.ca,G011,CFI,2016.0,55000.0,Ethical AI,completed,P031,Federated Learning for Privacy Preservation,2021.0,157.0,Nature Machine Intelligence,True
35,R001,Claire,Davidson,Machine Learning,UBC,2008,16,64,True,Jordan,claire.davidson@pssar.ca,G018,SSHRC,2017.0,75000.0,AI for Climate,pending,P006,Transformer Models in Low-Resource Settings,2020.0,112.0,ICML,False
36,R001,Claire,Davidson,Machine Learning,UBC,2008,16,64,True,Jordan,claire.davidson@pssar.ca,G018,SSHRC,2017.0,75000.0,AI for Climate,pending,P048,Efficient Data Pipelines at Scale,2017.0,62.0,ACL,False
37,R001,Claire,Davidson,Machine Learning,UBC,2008,16,64,True,Jordan,claire.davidson@pssar.ca,G018,SSHRC,2017.0,75000.0,AI for Climate,pending,P_HIDDEN,Data Opens Doors: A Manifesto for Open Research,2024.0,9999.0,Nature Machine Intelligence,True
